Program Code,Account Owner,Location Account Number,Account ID (18 char),Combined,Location: Account Name,SAP Account Name 2,Location Address,SAP Customer Group 5 Desc,Approval Status,SAP Sales Office Desc,Approval Date,Active Account,Marketing Solution: Marketing Solutions,Primary Industry,SAP Sales Group Desc
CY24-LOYALTY,Timothy Roettgers,0000500992,0013700000AS7sxAAD,"KERRY NISSAN8053 BURLINGTON PIKE, FLORENCE, KY 41042 US",KERRY NISSAN,,"8053 BURLINGTON PIKE, FLORENCE, KY 41042 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:12 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Timothy Roettgers,0000500419,0013700000ASBuOAAX,"KERRY CHEVROLET7500 ALEXANDRIA PIKE, ALEXANDRIA, KY 41001 US",KERRY CHEVROLET,,"7500 ALEXANDRIA PIKE, ALEXANDRIA, KY 41001 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:11 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Timothy Roettgers,0000471715,0013700000ASFzeAAH,"KERRY VOLKSWAGEN1020 BURLINGTON PK, FLORENCE, KY 41042 US",KERRY VOLKSWAGEN,,"1020 BURLINGTON PK, FLORENCE, KY 41042 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:07 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Timothy Roettgers,0000500418,0013700000ASBuNAAX,"KERRY TOYOTA550 PIKE ST, COVINGTON, KY 41011 US",KERRY TOYOTA,,"550 PIKE ST, COVINGTON, KY 41011 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:08 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Ed Buis,0000337365,0013700000AS82zAAD,"TOM WOOD SUBARU3300 E 96TH ST, INDIANAPOLIS, IN 46240 US",TOM WOOD SUBARU,,"3300 E 96TH ST, INDIANAPOLIS, IN 46240 US",TOM WOOD GROUP,Approved,IC DIRECT SALES,"1/5/2024, 6:39 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Ed Buis,0000337364,0013700000AS87FAAT,"TOM WOOD LEXUS4610 E 96TH ST, INDIANAPOLIS, IN 46240 US",TOM WOOD LEXUS,,"4610 E 96TH ST, INDIANAPOLIS, IN 46240 US",TOM WOOD GROUP,Approved,IC DIRECT SALES,"1/5/2024, 6:38 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Travis Ciarlo,0000337915,0013700000ASE2vAAH,"EVANS TOYOTA515 W COLISEUM BLVD, FORT WAYNE, IN 46808 US",EVANS TOYOTA,,"515 W COLISEUM BLVD, FORT WAYNE, IN 46808 US",,Approved,IC DIRECT SALES,"2/1/2024, 7:45 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Travis Ciarlo,0000613012,0013700000AS123AAD,"KIA OF MUNCIE6732 W HOMETOWN BLVD, MUNCIE, IN 47303 US",KIA OF MUNCIE,,"6732 W HOMETOWN BLVD, MUNCIE, IN 47303 US",,Approved,IC DIRECT SALES,"1/3/2024, 7:39 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Zachary Keyes,0000427136,0013700000ASFfWAAX,"S AND S TIRE 22629 RICHMOND RD, LEXINGTON, KY 40509 US",S AND S TIRE 2,HIERARCHY,"2629 RICHMOND RD, LEXINGTON, KY 40509 US",BEST ONE,Approved,IC DIRECT SALES,"1/9/2024, 5:51 PM",No,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Steve Addleman,0000037480,0013700000AS6X6AAL,"BEST ONE TIRE & SERVICE18 S 6TH ST, VINCENNES, IN 47591 US",BEST ONE TIRE & SERVICE,HIERARCHY,"18 S 6TH ST, VINCENNES, IN 47591 US",BEST ONE,Approved,IC DIRECT SALES,"3/15/2024, 2:27 PM",No,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Paul Rode,0000469347,0013700000ASGM7AAP,"LOQUERCIO AUTOMOTIVE SOUTH INC4900 S PULASKI RD, CHICAGO, IL 60632-4217 US",LOQUERCIO AUTOMOTIVE SOUTH INC,,"4900 S PULASKI RD, CHICAGO, IL 60632-4217 US",LOQUERCIO AUTO GROUP,Approved,IC DIRECT SALES,"1/5/2024, 10:34 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDWEST
CY24-LOYALTY,Carly Fugmann,0000703592,0011S0000131O2ZQAU,"TMT LLC1400 BOULEVARD, COLONIAL HEIGHTS, VA 23834 US",TMT LLC,MIDAS 3134,"1400 BOULEVARD, COLONIAL HEIGHTS, VA 23834 US",MIDAS,Approved,IC DIRECT SALES,"12/21/2023, 10:45 AM",Yes,VPERK$ 2024 Loyalty Program,,NORTHEAST
CY24-LOYALTY,Carly Fugmann,0000703591,0011S0000131O2PQAU,"TMT LLC10160 HULL STREET RD., MIDLOTHIAN, VA 23112 US",TMT LLC,MIDAS 3542,"10160 HULL STREET RD., MIDLOTHIAN, VA 23112 US",MIDAS,Approved,IC DIRECT SALES,"12/21/2023, 10:45 AM",Yes,VPERK$ 2024 Loyalty Program,,NORTHEAST
CY24-LOYALTY,Carly Fugmann,0000703588,0011S0000131NvDQAU,"TMT LLC5301 W. BROAD ST., RICHMOND, VA 23230 US",TMT LLC,MIDAS 3354,"5301 W. BROAD ST., RICHMOND, VA 23230 US",MIDAS,Approved,IC DIRECT SALES,"12/21/2023, 10:44 AM",Yes,VPERK$ 2024 Loyalty Program,,NORTHEAST
CY24-LOYALTY,John Barlock,0000702026,0011S000012RmdXQAS,"AUTO EXPERTS USA LLC-GLASSBORO508 N DELSEA DR, GLASSBORO, NJ 08028 US",AUTO EXPERTS USA LLC-GLASSBORO,MIDAS 4199,"508 N DELSEA DR, GLASSBORO, NJ 08028 US",MIDAS,Approved,IC DIRECT SALES,"1/1/2024, 12:04 PM",Yes,VPERK$ 2024 Loyalty Program,,NORTHEAST
CY24-LOYALTY,Amanda C. Moore,0000699855,0011S00000lVnxyQAC,"HARMARVILLE TIRE AND SERVICE2200 FREEPORT RD, BLAWNOX, PA 15238 US",HARMARVILLE TIRE AND SERVICE,,"2200 FREEPORT RD, BLAWNOX, PA 15238 US",,Approved,IC DIRECT SALES,"1/8/2024, 1:46 PM",Yes,VPERK$ 2024 Loyalty Program,,NORTHEAST
CY24-LOYALTY,Nick Baker,0000701560,0011S00000s8Zf1QAE,"PALMETTO GARAGE WORKS LLC1621 N HIGHWAY 17, MOUNT PLEASANT, SC 29464 US",PALMETTO GARAGE WORKS LLC,MIDAS 3287,"1621 N HIGHWAY 17, MOUNT PLEASANT, SC 29464 US",MIDAS,Approved,IC DIRECT SALES,"1/1/2024, 11:43 AM",Yes,VPERK$ 2024 Loyalty Program,,SOUTHEAST
CY24-LOYALTY,Bryce Sowder,0000698384,0011S00000hmAm0QAE,"BILL AND GARY'S AUTOMOTIVE1641 W 6TH AVE, EUGENE, OR 97402 US",BILL AND GARY'S AUTOMOTIVE,,"1641 W 6TH AVE, EUGENE, OR 97402 US",POINT S,Approved,IC DIRECT SALES,"12/18/2023, 10:51 AM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,Angela Brocksmith,P3542474,0013700000ASPxIAAX,"Tony Divino Toyota777 W RIVERDALE RD, RIVERDALE, UT 84405-3714 US",Tony Divino Toyota,,"777 W RIVERDALE RD, RIVERDALE, UT 84405-3714 US",,Approved,CPS Channel Partners,"1/8/2024, 3:01 PM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,Navneet Singh,0000699636,0011S00000lUWcSQAW,"DISCOUNT TIRE AND AUTOMOTIVE728 S MAIN ST, SMITHFIELD, UT 84335 US",DISCOUNT TIRE AND AUTOMOTIVE,ASSOCIATED TIRE STORES INC,"728 S MAIN ST, SMITHFIELD, UT 84335 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"3/6/2024, 11:49 AM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,Navneet Singh,0000698237,0011S00000hm42KQAQ,"BARGAIN TIRE CHUBBUCK4534 YELLOWSTONE AVE, CHUBBUCK, ID 83202 US",BARGAIN TIRE CHUBBUCK,ASSOCIATED TIRE STORES INC,"4534 YELLOWSTONE AVE, CHUBBUCK, ID 83202 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"3/6/2024, 11:49 AM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,Navneet Singh,0000698219,0011S00000hm40OQAQ,"DISCOUNT TIRE PROVIDENCE110 S HWY 165, PROVIDENCE, UT 84332 US",DISCOUNT TIRE PROVIDENCE,ASSOCIATED TIRE STORES INC,"110 S HWY 165, PROVIDENCE, UT 84332 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"3/6/2024, 11:48 AM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,Navneet Singh,0000698196,0011S00000hm3uMQAQ,"DISCOUNT TIRE LOGAN885 N MAIN ST, LOGAN, UT 84321 US",DISCOUNT TIRE LOGAN,ASSOCIATED TIRE STORES INC,"885 N MAIN ST, LOGAN, UT 84321 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"3/6/2024, 11:47 AM",Yes,VPERK$ 2024 Loyalty Program,,WEST
CY24-LOYALTY,David Wessel,0000725197,001Nv000002aWJZIA2,"O'BRYAN AUTOMOTIVE REPAIR 2 LLC2501 N BROADWAY, PITTSBURG, KS 66762 US",O'BRYAN AUTOMOTIVE REPAIR 2 LLC,,"2501 N BROADWAY, PITTSBURG, KS 66762 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"12/14/2023, 11:04 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000725195,001Nv000003CiGTIA0,"O'BRYAN AUTOMOTIVE REPAIR LLC1530 FLYNN, PARSONS, KS 67357 US",O'BRYAN AUTOMOTIVE REPAIR LLC,,"1530 FLYNN, PARSONS, KS 67357 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"12/14/2023, 11:04 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000711363,0011S0000181LJuQAM,"FRED JRS'S MINNESOTA WHOLESALE731 LAKE STREET SOUTH, FOREST LAKE, MN 55025 US",FRED JRS'S MINNESOTA WHOLESALE,,"731 LAKE STREET SOUTH, FOREST LAKE, MN 55025 US",,Approved,IC DIRECT SALES,"12/13/2023, 10:23 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000715899,0013700000NVjHgAAL,"HK AUTO NWA INC2113 HWY 412 W, SILOAM SPRINGS, AR 72761 US",HK AUTO NWA INC,BENTON COUNTY TIRE PROS,"2113 HWY 412 W, SILOAM SPRINGS, AR 72761 US",ATD TIRE PROS,Approved,IC DIRECT SALES,"12/12/2023, 9:56 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000717888,0013700000NVjaVAAT,"WHITE BEAR TIRE AND AUTO1350 COUNTY HWY 96 SUITE 22, WHITE BEAR LAKE, MN 55110 US",WHITE BEAR TIRE AND AUTO,,"1350 COUNTY HWY 96 SUITE 22, WHITE BEAR LAKE, MN 55110 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"12/12/2023, 9:11 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000724804,001Nv000002QdXhIAK,"ADVANCED AUTO CLINIC LLC4300 HWY 50, DELAVAN, WI 53115 US",ADVANCED AUTO CLINIC LLC,,"4300 HWY 50, DELAVAN, WI 53115 US",AAA-AAR,Approved with Exceptions,IC DIRECT SALES,"2/16/2024, 9:40 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000536471,0013700000AS9ysAAD,"ADVANCED AUTO CLINIC1101 ANN ST, DELAVAN, WI 53115-1981 US",ADVANCED AUTO CLINIC,,"1101 ANN ST, DELAVAN, WI 53115-1981 US",AAA-AAR,Approved,IC DIRECT SALES,"12/6/2023, 2:15 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000723581,0011S00001HrMS4QAN,"XTREME PRODUCTS LLC209 3RD AVE, ENDERLIN, ND 58027 US",XTREME PRODUCTS LLC,,"209 3RD AVE, ENDERLIN, ND 58027 US",ATD PARTNER PERKS,Approved,IC DIRECT SALES,"12/19/2023, 3:02 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000701453,0013700000NVjHbAAL,"FUTURE IN TIRES INC1610 CAMBELL ST., RAPID CITY, SD 57701 US",FUTURE IN TIRES INC,BARGAIN BARN TIRE PROS,"1610 CAMBELL ST., RAPID CITY, SD 57701 US",CONTINENTAL GOLD,Approved,IC DIRECT SALES,"12/19/2023, 2:56 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,David Wessel,0000713904,0013700000NVjZJAA1,"IOWA CITY SERVICE AND TIRE LLC410 KIRKWOOD AVE, IOWA CITY, IA 52240 US",IOWA CITY SERVICE AND TIRE LLC,IOWA CITY TIRE AND SERVICE,"410 KIRKWOOD AVE, IOWA CITY, IA 52240 US",CONTINENTAL GOLD,Approved,IC DIRECT SALES,"12/19/2023, 2:50 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000026949,0013700000ASAa8AAH,"EXPRESS CAR CARE7929 LONG POINT RD, HOUSTON, TX 77055 US",EXPRESS CAR CARE,,"7929 LONG POINT RD, HOUSTON, TX 77055 US",AAA-AAR,Approved,IC DIRECT SALES,"1/3/2024, 5:28 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718003,0011S00001FWBbLQAX,"RANDOLPH TIRE AND AUTO LLC829 PAT BOOKER RD, UNIVERSAL CITY, TX 78148 US",RANDOLPH TIRE AND AUTO LLC,KENS TIRE RANDOLPH,"829 PAT BOOKER RD, UNIVERSAL CITY, TX 78148 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 4:16 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718001,0011S00001FWBigQAH,"KENS TIRE AND AUTO SERVICE LLC - MC8415 MC CULLOUGH, SAN ANTONIO, TX 78216 US",KENS TIRE AND AUTO SERVICE LLC - MC,KENS TIRE MC CULLOUGH,"8415 MC CULLOUGH, SAN ANTONIO, TX 78216 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 4:13 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718000,0011S00000elgWmQAI,"KENS TIRE AND AUTO SERVICE LLC - AU1315 AUSTIN HWY, SAN ANTONIO, TX 78250 US",KENS TIRE AND AUTO SERVICE LLC - AU,KENS TIRE AUSTIN HWY,"1315 AUSTIN HWY, SAN ANTONIO, TX 78250 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 4:11 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718002,0011S00001FWBhdQAH,"KENS TIRE AND AUTO SERVICE LLC - FA1346 FAIR AVE, SAN ANTONIO, TX 78223 US",KENS TIRE AND AUTO SERVICE LLC - FA,KEN'S TIRE FAIR,"1346 FAIR AVE, SAN ANTONIO, TX 78223 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 4:04 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718004,0011S00001FWBZyQAP,"MIKES DOWNTOWN GARAGE LLC331 S FLORES, SAN ANTONIO, TX 78204 US",MIKES DOWNTOWN GARAGE LLC,,"331 S FLORES, SAN ANTONIO, TX 78204 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 4:03 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718019,0011S00001FWBf8QAH,"BAUMANN AUTO REPAIR INC - CINCINNAT2151 CINCINNATI AVE, SAN ANTONIO, TX 78228 US",BAUMANN AUTO REPAIR INC - CINCINNAT,,"2151 CINCINNATI AVE, SAN ANTONIO, TX 78228 US",GOODYEAR TSN,Approved with Exceptions,IC DIRECT SALES,"4/5/2024, 11:32 AM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000717999,0011S00001FWBdlQAH,"KENS TEXACO LTD615 AUSTIN HWY, SAN ANTONIO, TX 78209 US",KENS TEXACO LTD,,"615 AUSTIN HWY, SAN ANTONIO, TX 78209 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 3:58 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000717998,0011S00001FWBcOQAX,"KENS TEXACO LTD-ALAMO HEIGHTS MOBIL6510 N NEW BRAUNFELS, SAN ANTONIO, TX 78209 US",KENS TEXACO LTD-ALAMO HEIGHTS MOBIL,ALAMO HEIGHTS MOBIL,"6510 N NEW BRAUNFELS, SAN ANTONIO, TX 78209 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 3:55 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000718018,0011S00001FWBgVQAX,"BAUMANN AUTO REPAIR INC7902 MAINLAND DR, SAN ANTONIO, TX 78250 US",BAUMANN AUTO REPAIR INC,,"7902 MAINLAND DR, SAN ANTONIO, TX 78250 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/3/2024, 3:54 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000688864,0013700000Ln2YfAAJ,"THE BOSWORTH COMPANY LTD2700 N FIRST, ABILENE, TX 79603 US",THE BOSWORTH COMPANY LTD,MIDAS 5775,"2700 N FIRST, ABILENE, TX 79603 US",MIDAS,Approved,IC DIRECT SALES,"1/3/2024, 3:23 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000689090,0013700000Mx9w4AAB,"THE BOSWORTH COMPANY LTD2919 LOOP 306, SAN ANGELO, TX 76904 US",THE BOSWORTH COMPANY LTD,MIDAS 5834,"2919 LOOP 306, SAN ANGELO, TX 76904 US",MIDAS,Approved,IC DIRECT SALES,"1/3/2024, 3:21 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000689093,0013700000ASO1HAAX,"THE BOSWORTH COMPANY LTD3512 ANDREWS HWY, ODESSA, TX 79762 US",THE BOSWORTH COMPANY LTD,MIDAS 5351,"3512 ANDREWS HWY, ODESSA, TX 79762 US",MIDAS,Approved,IC DIRECT SALES,"1/3/2024, 3:19 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000688819,0013700000ASPqtAAH,"THE BOSWORTH COMPANY LTD3301 W WALL, MIDLAND, TX 79701 US",THE BOSWORTH COMPANY LTD,MIDAS 5350,"3301 W WALL, MIDLAND, TX 79701 US",MIDAS,Approved with Exceptions,IC DIRECT SALES,"3/20/2024, 5:56 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000689084,0013700000ASPsxAAH,"THE BOSWORTH COMPANY LTD5115 S LOOP 289, LUBBOCK, TX 79424 US",THE BOSWORTH COMPANY LTD,MIDAS 5865,"5115 S LOOP 289, LUBBOCK, TX 79424 US",MIDAS,Approved with Exceptions,IC DIRECT SALES,"3/20/2024, 5:48 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000688865,0013700000ASO7QAAX,"THE BOSWORTH COMPANY LTD4500 BELL ST, AMARILLO, TX 79109 US",THE BOSWORTH COMPANY LTD,MIDAS 5885,"4500 BELL ST, AMARILLO, TX 79109 US",MIDAS,Approved with Exceptions,IC DIRECT SALES,"3/20/2024, 5:33 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000711345,0011S0000181L83QAE,"TIRE STORE SERVICE CENTER - BOWIE209 E WISE ST, BOWIE, TX 76230 US",TIRE STORE SERVICE CENTER - BOWIE,,"209 E WISE ST, BOWIE, TX 76230 US",,Approved,IC DIRECT SALES,"1/3/2024, 3:04 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000711347,0011S0000181L8DQAU,"TIRE STORE SERVICE CENTER- SAGINAW108 ANDERSON ST, SAGINAW, TX 76179 US",TIRE STORE SERVICE CENTER- SAGINAW,,"108 ANDERSON ST, SAGINAW, TX 76179 US",,Approved,IC DIRECT SALES,"1/3/2024, 3:00 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000711350,0011S0000181L8SQAU,"TIRE STORE SERVICE CENTER- GREENVIL3306 WESLEY ST, GREENVILLE, TX 75401 US",TIRE STORE SERVICE CENTER- GREENVIL,,"3306 WESLEY ST, GREENVILLE, TX 75401 US",,Approved,IC DIRECT SALES,"1/3/2024, 2:58 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
CY24-LOYALTY,Robert Leidolf,0000711348,0011S0000181L8IQAU,"TIRE STORE SERVICE CENTER- CLEBURNE1002 SOUTH CADDO ST, CLEBURNE, TX 76031 US",TIRE STORE SERVICE CENTER- CLEBURNE,,"1002 SOUTH CADDO ST, CLEBURNE, TX 76031 US",,Approved,IC DIRECT SALES,"1/3/2024, 2:56 PM",Yes,VPERK$ 2024 Loyalty Program,Automotive Svc Ctr,CENTRAL
